# time    temp_kitchen_old_filtered_Mai_2016 (processed by pp_show_filtering.py)
2016-05-15T06:28:10Z    18.1289298024
2016-05-15T06:54:50Z    18.251094311
2016-05-15T07:21:30Z    18.3846422734
2016-05-15T07:48:10Z    18.5268273679
2016-05-15T08:14:50Z    18.6745718449
2016-05-15T08:51:30Z    18.8806629023
2016-05-15T09:18:10Z    19.0280215373
2016-05-15T09:44:50Z    19.1692819019
2016-05-15T10:11:31Z    19.3009934533
2016-05-15T10:38:11Z    19.4198844393
2016-05-15T11:04:51Z    19.522957094
2016-05-15T11:31:31Z    19.6075770763
2016-05-15T11:58:11Z    19.6715546761
2016-05-15T12:24:51Z    19.7132151462
2016-05-15T12:51:31Z    19.7314553941
2016-05-15T13:18:11Z    19.725784285
2016-05-15T13:44:51Z    19.696344034
2016-05-15T14:11:31Z    19.6439106595
2016-05-15T14:38:12Z    19.5698722278
2016-05-15T15:04:52Z    19.4761845923
2016-05-15T15:31:32Z    19.3653054483
2016-05-15T15:58:12Z    19.2401086826
2016-05-15T16:24:52Z    19.1037821254
2016-05-15T16:51:32Z    18.9597128027
2016-05-15T17:18:12Z    18.8113645831
2016-05-15T17:54:52Z    18.6066477696
2016-05-15T18:21:32Z    18.4614989032
2016-05-15T18:48:12Z    18.3227206673
2016-05-15T19:14:52Z    18.1927370349
2016-05-15T19:41:33Z    18.0734893631
2016-05-15T20:08:13Z    17.9663877405
2016-05-15T20:34:53Z    17.8722870765
2016-05-15T21:01:33Z    17.7914884655
2016-05-15T21:28:13Z    17.7237650826
2016-05-15T21:54:53Z    17.6684106784
2016-05-15T22:21:33Z    17.6243076859
2016-05-15T22:48:13Z    17.5900111021
2016-05-15T23:14:53Z    17.5638436797
2016-05-15T23:41:33Z    17.5439975959
2016-05-16T00:08:14Z    17.5286376403
2016-05-16T00:34:54Z    17.5160010846
2016-05-16T01:28:14Z    17.4927501367
2016-05-16T01:54:54Z    17.4797387715
2016-05-16T02:21:34Z    17.464769456
2016-05-16T02:48:14Z    17.4475415065
2016-05-16T03:14:54Z    17.4281477053
2016-05-16T03:41:34Z    17.4070621927
2016-05-16T04:38:14Z    17.3607863148
2016-05-16T05:04:55Z    17.3410198967
2016-05-16T05:31:35Z    17.3245970111
2016-05-16T05:58:15Z    17.3131227116
2016-05-16T06:24:55Z    17.3081783837
2016-05-16T06:51:35Z    17.3112317298
2016-05-16T07:18:15Z    17.3235505043
2016-05-16T07:44:55Z    17.3461239443
2016-05-16T08:11:35Z    17.3795955747
2016-05-16T08:38:15Z    17.4242106406
2016-05-16T09:04:55Z    17.4797808438
2016-05-16T09:31:36Z    17.5456683349
2016-05-16T09:58:16Z    17.6207900772
2016-05-16T10:24:56Z    17.7036427549
